Product Name,Supplier Name
PANASONIC AAA BATTERY,SRI VARSHA ENTERPRISES.
HAIR CLIP-18RS,GAYATHRI JEWELLERS
OREO ORIGINAL RS.10 POKO,SAKTHI AGENCIES MT
NESCAFE SUNRISE,GURU MARKETING
DHANIYA-200GM MG,BAJAR ITEM
GREEN PEAS 200GM,BAJAR ITEM
MILKY MIST PANEER-200GMS,CHENNIMALAI AGENCIES
KPK ELANTHA VADAI,GUHAN AGENCY
AACHI TURMERIC POWDER-50GMS,AMMAN AGENCIES
KITCHEN TOWEL SMALL,BAJAR ITEM
PANASONIC AA BATTERY-16RS,SRI VARSHA ENTERPRISES.
ORID DHALL 500G MG,BAJAR ITEM
SABENA DISHWASH POWDER-500GRS,T.J.MARKETING
VIM-25RS,AMMAN ENTERPRISE
NAGA MAIDA-500KGS,J.S.AGECIES
CINTHOL ORIGINAL-100GMS,IRAIVI ENTERPRISES
PORI 200GM MG,BAJAR ITEM
BRITANNIA MARIE GOLD 64GM,R.K.MARKETING
GODREJ FAB LIQUID DETERGENTL-2LTR,IRAIVI ENTERPRISES
COLOUR SHEET SINGLE,BISMI SCHOOL NEEDS
POPPY SEEDS 50G MG,BAJAR ITEM
BRINJI LEAF 25G MG,BAJAR ITEM
ROLL O BIG GARBAGE BAGES,SR ENTERPRISES
CADBURY 5 STAR,SAKTHI AGENCIES MT
ARASAN SOAP-250GMS,OM MURUGA AGENCIES
JEERAGA SAMBA 1KG-1KGS,BAJAR ITEM
DHEEPAM LAMP OIL 500ML POUCH,AMMA BAZAAR
MAGGI MASALA 2MINS30,SRI JAYALAKSHMI ENTERPRISE
LG ASAFOETIDA SOLID-60GMS,T.P.ANNAPOORANI ENTERPRISES
DHEEPAM LAMP OIL-500MLT,AMMA BAZAAR
FRIED GROUNDNUT 500G MG,BAJAR ITEM
KRISHNA RICE FLOUR-500GMS,KRISHNA BHAVAN FOODS AND SWEETS
PENTONIC FROST PEN,A.S AGENCIES
SPLIT ORID DHALL100G,BAJAR ITEM
MAGGI 2MIN MASALA NOODLES-70GRS,SRI JAYALAKSHMI ENTERPRISE
SATHA PATTAI 25GM,BAJAR ITEM
CLOVE 25G MG,BAJAR ITEM
PERK DOUBLE NEW-10RS,SAKTHI AGENCIES MT
FOOD MANJAL-100GMS,BAJAR ITEM
RAW GROUNDNUT 1KG MG,BAJAR ITEM
IDHAYAM GINGELLY OIL B-1KLR,ARCHANA TRADING
GREEN PEAS 500GM,BAJAR ITEM
MODERN WHEAT BREAD-400GMS,G.V. AGENCY
HAMAM NEEM NEW-100GMS,AMMAN ENTERPRISE
DAIRYMILK CHOCOLATE- RS 20,SAKTHI AGENCIES MT
MILK BIKIS NEW 10 CLASSIC,R.K.MARKETING
OREO BISCUIT CHOCO10 POKO,SAKTHI AGENCIES MT
PENTEL WOW 07 BALLPOINT PEN,SRI KAMATCHI ENTERPRISES
SIVAJI BOILED RICE 5KG,SELVANAMPI
THIRUMATHI GOLD SUN OIL 1LIT,RAJHAM REFINERIES
FULL CASHEW 100G MG,BAJAR ITEM
ROUND CHILLI NEW 200GM MG,BAJAR ITEM
SMALL MUSTARD-200GMS,BAJAR ITEM
HAUSER XO PEN,STAR STATIONERIES
YIPPEE NOODLES MAGIC MASALA-70GMS,NANDHINI TRADE
PASUMARK SESAME SEED 100G,MM ENTERPRISES
IR20 IDLY RICE-1KGS,BAJAR ITEM
RAGI 1KG MG,BAJAR ITEM
SAKTHI GARAM MASALA-50GMS,SUNSEENU MARKETING
SAKTHI SAMBAR POWDER-50GMS,SUNSEENU MARKETING
DRY GINGER 50G,BAJAR ITEM
PUMPKIN SEEDS-100GMS,BAJAR ITEM
PORNA RICE BRAN OIL-1KLR,SRI SAKTHI AGENCIES
SURF EXCEL MATIC TOP LOAD VALUE PACK,AMMAN ENTERPRISES COOM ENTERPRISE
KOTHUMAI 1KG,BAJAR ITEM
MILK BIKIS NEW10,R.K.MARKETING
DHANIYA-500G,BAJAR ITEM
JOINER JUICE,GRACE FOODS
NICE AVAL-500GMS,BAJAR ITEM
MILKY MIST CURD-135GMS,CHENNIMALAI AGENCIES
SINGLE HOOK AMBA,BAJAR ITEM
KASHMIRI CHILLI LONG-200GM,BAJAR ITEM
GIFT PAPER-5RS,BISMI SCHOOL NEEDS
VIM BAR SOAP RS - 30,AMMAN ENTERPRISE
SINGH SATRANG CONE15,GAYATHRI JEWELLERS
HAIR CLIP -10RS,GAYATHRI JEWELLERS
AACHI TURMERIC POWDER-100GMS,AV CUBE LOGISTIC
SAMBA RAVAI-500GMS,JAWA PRIYA FOOD PRODUCTS
AACHI GARAM MASALA-50GMS,AV CUBE LOGISTIC
JAGGERY POWDER 500GM,SRI MAHALAKSHMI TRADERS
ANNACHI POO 25G MG,BAJAR ITEM
