S.No,Barcode,Product Name,Quantity,Stock Value,Profit,Profit %,Supplier Name,Category,Sales Rank
54,66758,AAVIN MILK BISCUITS,775.0,7440.0,465.0,6.25,GK DAIRY MARKETING SERVICES,Snacks - Biscuits & Cookies,54
55,59923,EVEREADY AAA 1012-1UNT,771.0,12490.2,3392.4,27.16,SRI MAHALAKSHMI TRADERS,Others,55
56,48209,RIN BAR RS.10 -145G,770.0,7380.94,362.84,4.92,AMMAN ENTERPRISE,Others,56
57,12307,BLACK CHANNA 500G MG,763.0,51426.5,14507.45,28.21,BAJAR ITEM,Others,57
58,12648,FRIED GROUNDNUT 200G MG,763.0,32046.0,9613.8,30.0,BAJAR ITEM,Staples - Oils,58
59,12632,IDLY RICE 5KG MG,719.0,176155.0,36489.25,20.71,BAJAR ITEM,Staples - Grains,59
60,12669,WHITE CHANNA 200G MG,711.0,25596.0,6932.25,27.08,BAJAR ITEM,Others,60
61,55030,MUNCH 15 EXT-5RS,692.0,3321.6,346.0,10.42,SRI JAYALAKSHMI ENTERPRISE,Others,61
62,1663,SVS GROUNDNUT OIL-1KLR,691.0,123689.0,15202.0,12.29,LOKESHWARAN TRADERS,Staples - Oils,62
63,50873,NESTLE KIT KAT,684.0,6566.4,582.36,8.87,SRI JAYALAKSHMI ENTERPRISE,Others,63
64,43007,GOOD DAY CASHEW10,677.0,6499.2,324.94,5.0,R.K.MARKETING,Others,64
65,17869,SMALL MEAL MEKER MG-200GMS,675.0,16875.0,6243.75,37.0,BAJAR ITEM,Others,65
66,12760,ELAKKAI 25G MG,670.0,79730.0,23731.4,29.76,BAJAR ITEM,Others,66
67,437,MOONG DHALL 1 KG,669.0,103026.0,24351.6,23.64,BAJAR ITEM,Staples - Pulses,67
68,66177,MAGGI 2-MINUTE NOODIES RS-15,663.0,9547.2,417.69,4.37,SRI JAYALAKSHMI ENTERPRISE,Others,68
69,34118,SATHA KAL UPPU,658.0,9212.0,4935.0,53.57,BAJAR ITEM,Others,69
70,63422,VIM LIQUIED RS15,657.0,9464.77,968.49,10.23,AMMAN ENTERPRISE,Others,70
71,40046,ROLL O SMALL GARBAGE BAGES,654.0,36611.0,12050.44,32.91,SR ENTERPRISES,Bakery,71
72,18916,PAKKU MATTA PLATE,648.0,6624.0,2698.85,40.74,BEST MARKETING,Staples - Grains,72
73,13273,TAJ MAHAL MAVU RAW RICE-1KGS,620.0,28830.0,6484.02,22.49,BAJAR ITEM,Staples - Grains,73
74,3474,TATA SALT SOLID-1KGS,613.0,12946.56,3121.18,24.11,SRI SAKTHI AGENCIES,Staples - Sugar & Salt,74
75,396,TOOR DHALL -500GMS,605.0,44375.0,9750.85,21.97,BAJAR ITEM,Others,75
76,12305,BLACK CHANNA 200G MG,603.0,17104.0,5209.6,30.46,BAJAR ITEM,Others,76
77,12790,SPILT CASHEW 100G MG,603.0,77756.0,11310.95,14.55,BAJAR ITEM,Others,77
78,63937,PERKNEW-5RS,603.0,2894.4,156.78,5.42,SAKTHI AGENCIES MT,Others,78
79,12466,UPPU KADALAI MG-200GMS,589.0,20026.0,5183.2,25.88,BAJAR ITEM,Staples - Pulses,79
80,49967,FORTUNE ATTA 11 OFFER,586.0,55824.0,3372.28,6.04,T.J.MARKETING,Staples - Grains,80
81,36558,SUMANGALI SET RS15,583.0,8745.0,5064.2,57.91,RSM POOJA ITEMS,Others,81
82,12634,TAMARIND 500G MG,565.0,67235.0,12356.55,18.38,BAJAR ITEM,Others,82
