Date:08/23/25,,MURUGAN STORES WHOLESALE SUPERMARKET,,,,,
Fast-moving Stock Report from 08/23/24 to 08/23/25,,,,,,,
S.No,Barcode,Product Name,Quantity,Stock Value,Profit,Profit %,Vendor Name
1474,300,TURMERIC KULIYAL -100GMS,48,1872.00,662.40,35.38,BAJAR ITEM
1475,8043,KRISHNA SAMBA BROKEN WHEAT-500GMS,48,4729.20,577.06,12.20,KRISHNA BHAVAN FOODS AND SWEETS
1476,33225,TONGUE CLEANER -8RS,48,384.00,209.25,54.49,MEENAAKSHI ENTERPRISES
1477,61976,SUNRISE .10 NEW,48,465.60,25.44,5.46,SRI JAYALAKSHMI ENTERPRISE
1478,3378,CHANDANAM TIKA,48,720.00,289.92,40.27,RSM POOJA ITEMS
1479,271,NATURE POWER SOAP (SANDAL) -125GMS,48,2095.20,130.56,6.23,GAYATHRI TRADERS (NP)
1480,52978,DECORATION ITEM/32,48,1536.00,768.00,50.00,SUN DECORATION CENTRE
1481,8487,BISON CASTOR OIL-50GMS,48,1612.80,352.80,21.88,BISON CONSUMER PRODUCTS
1482,104,GOOD KNIGHT ACTIVE+-45MLT,48,3916.80,353.76,9.03,IRAIVI ENTERPRISES
1483,1675,UNIBIC KCB -60GMS,48,460.80,96.48,20.94,MADDY DISTRIBUTORS
1484,59261,MAXI POWDER FLIES KILLER,48,964.00,532.00,55.19,SRI RISHI SANJAY ENTERPRISES
1485,7934,KRISHNA PUTTU FLOUR-500GMS,48,3876.00,816.70,21.07,KRISHNA BHAVAN FOODS AND SWEETS
1486,63693,OREO STRAWBERRY CREME NEW-30RS,48,1382.40,138.72,10.03,SAKTHI AGENCIES MT
1487,29417,REVIVE LIQUID 200GM,48,3732.48,374.88,10.04,KAVITHA ENTERPEISES
1488,6335,BOVONTO -18RS,48,912.00,111.84,12.26,AKS GENERAL STORES
1489,32222,AMBIKA APPALAM 150GM,48,4752.00,1056.00,22.22,T.J.MARKETING
1490,38885,DOVE CREAM BAR PINK,48,3456.00,260.04,7.52,AMMAN ENTERPRISE
1491,66509,POOJA THIRI MRP.16,48,624.00,259.20,41.54,BALAMURUGAN TRADERS
1492,33164,DEEPIMPACT PROBIOTIC CLEANER 1000ML,48,11856.00,3120.00,26.32,SRI ANNAPOORANI AGENCIES
1493,2750,CHANDRIKA AYURVEDIC SOAP-125GMS,48,2396.16,131.52,5.49,ARCHANA TRADING
1494,38679,LINC EXECUTIVE SL-500,48,648.00,168.00,25.93,STAR STATIONERIES
1495,4752,ACT 2POP CORN-30RS,48,1612.80,112.77,6.99,SRISAA ENTERPRISE
1496,37710,ACT 2  SOUR CREAM-15RS,48,700.80,58.08,8.29,SRISAA ENTERPRISE
1497,1828,AACHI BIRYANI MASALA -100GMS,48,3542.40,1190.40,33.60,AV CUBE LOGISTIC
1498,64378,WHISPER XL COTTONY SOFT-45RS,48,1968.00,216.96,11.02,BHAWAR SALES CORPORATION
1499,8104,SURF EXCEL STAIN ERASER VALUE PACK,48,5791.68,183.05,3.16,"AMMAN ENTERPRISES C\O,OM ENTERPRISE"
1500,38680,LINC EXECUTIVE SL -500 BLACK,48,648.00,107.52,16.59,A.S AGENCIES
1501,5850,AACHI TURMERIC POWDER-200GMS,48,3628.80,1420.80,39.15,AMMAN AGENCIES
1502,29459,DASANGAM CONE,48,1632.00,126.72,7.76,RSM POOJA ITEMS
1503,66654,PARLE RUSK MILK 200G NEW,47,1579.20,184.24,11.67,A SQUARE MARKETING
1504,61699,ALEXA BASKET 222,47,1692.00,594.08,35.11,KARTHEESWARI TRADING CO
1505,63907,SUN RING GLASS LARGE,47,2559.00,811.80,31.72,SUNSHINE STEELS
1506,8121,BAMBINO VERMICELLI-500GMS,47,2391.36,368.01,15.39,T.J FOUNDATION
1507,66429,TATA I SHAKTI SALT-1KGS,47,902.40,56.40,6.25,MURUGAN STORES
1508,20814,HARDY BRUSH,47,3825.00,1479.00,38.67,SMILE INDIA
1509,13131,SAVORIT VERMICELLI-200GGK,47,1353.60,296.10,21.88,J.S.AGECIES
1510,6206,WHITE GLUE -10RS,47,423.00,70.50,16.67,VIJAY ENTERPRISES
1511,45722,STUDY TABLE PRINT,47,20915.00,8225.00,39.33,BAJAR ITEM
1512,40085,APSARA PLATINUM PENCIL,47,423.00,94.00,22.22,KAMAL ENTERPRISE
1513,13600,DOUBLE HORSE APPAM IDIYAPPAM PATHIRI 500G,47,2662.08,445.36,16.73,T.J.MARKETING
1514,65512,SURF EXCEL QUICK WASH QW 1,47,10152.00,342.63,3.38,AMMAN ENTERPRISE
1515,6135,LAYS  CLASSIC SALTE -52GMS,47,902.40,131.60,14.58,SHRI THENANDAL ENTERPRISES
1516,3009,SENSODYNE FRESH GEL -40GMS,47,4286.40,403.73,9.42,NAVARATHAN ENTERPRISE
1517,47918,UNIBIC COCONUT COOKIES-75GMS,47,1353.60,296.10,21.88,MADDY DISTRIBUTORS
1518,7293,TOYS-90RS,47,4230.00,1880.00,44.44,BAJAR ITEM
1519,64085,VIM PROCLEAN 850ML MINT,47,9249.60,2070.82,22.39,"AMMAN ENTERPRISES C\O,OM ENTERPRISE"
1520,12744,MILKY MIST CURD400G,47,3008.00,318.40,10.59,CHENNIMALAI AGENCIES
1521,7220,RIN ANTIBAC NEW-500GMS,47,2887.68,239.70,8.30,AMMAN ENTERPRISE
1522,1115,RIN POWDER-1KGS,47,5504.64,431.46,7.84,AMMAN ENTERPRISE
1523,40604,THENGA  PAAL MURUKKU,47,2256.00,493.50,21.88,P.R.ENTERPRISES
1524,47790,AGARVATHI STAND NO.1,47,1356.00,495.16,36.52,BAJAR ITEM
1525,5912,PREMIUM DRY BLACK GRAPES -250GMS,47,9306.00,3322.43,35.70,RANUJA ENTERPRISES
1526,29349,HARPIC FLUSH MATIC MARINE/82,47,4286.40,389.63,9.09,CHENNIMALAIAPPA ENTERPRISE
1527,66235,COLGATE ACITIVE SALT RS - 20,47,902.40,48.41,5.36,SCOOTSY LOGISTICS PRIVATE LIMITED
1528,14560,SPECIAL SILLU KARUPATTI 200G,46,1932.00,552.00,28.57,GUHAN AGENCY
1529,7663,SENSODYNE REPAIR & PROTECT-100GMS,46,11923.20,1123.32,9.42,NAVARATHAN ENTERPRISE
1530,66508,POOJA THIRI MRP.22,46,828.00,325.22,39.28,BALAMURUGAN TRADERS
1531,7772,AACHI EGG CURRY MASALA-50GMS,46,1242.00,216.20,17.41,AV CUBE LOGISTIC
1532,41907,HAIR BAND-30RS,46,1380.00,690.00,50.00,GAYATHRI JEWELLERS
1533,11678,INDIIA GATE TIBAR -1KGS,46,6854.00,864.80,12.62,SAKTHI ENTERPRICES
1534,65308,DEO'N' FRESH 50G ROSE,46,2277.16,885.66,38.89,SRI VINAYAGA ENTERPRISES
1535,1752,VIP HAIR COLOUR SHAMPOO -40MLT,46,4239.36,466.90,11.01,SRI MAHALAKSHMI TRADERS
1536,66645,PARLE COCONUT BICUITS NEW-10RS,46,441.60,51.52,11.67,A SQUARE MARKETING
1537,12101,FLEX SEED 200GM,46,1794.00,500.40,27.89,BAJAR ITEM
1538,65476,ELITE DATES PUDDING CAKE 140GM,46,2649.60,579.14,21.86,ALANA TRADERS
1539,245,GODREJ AER SPRAY PETAL CRUSH PINK-240MLT,46,4370.00,574.79,13.15,IRAIVI ENTERPRISES
1540,42784,HAMAM NEEM SET SOAP 450GM,46,9502.22,1636.37,17.22,AMMAN ENTERPRISE
1541,67112,DHEEPAM LAMP OIL BLOSSOM NEW-500MLT,46,4830.00,655.96,13.58,AMMA BAZAAR
1542,65309,DEO'N' FRESH 50G LAV,46,2277.22,885.72,38.89,SRI VINAYAGA ENTERPRISES
1543,2553,DETTOL ORIGINAL HANDWASH LIQUID SQUEEZY PACK -100MLT,46,1540.80,127.28,8.26,CHENNIMALAIAPPA ENTERPRISE
1544,45702,ANS KOVILPATTI PEANUT BAR,46,3312.00,1196.00,36.11,BAJAR ITEM
1545,64949,PEPSODENT-80RS,46,3047.04,161.46,5.30,AMMAN ENTERPRISE
1546,54055,A.A.K B'DAY CANDLE,46,460.00,161.00,35.00,SUN DECORATION CENTRE
1547,3776,HAPIMA FRIED RICE HOT & SPICY-20GMS,46,529.92,108.92,20.55,AJINOMOTO INDIA PVT LTD
1548,46731,TANG ORANGE-75GMS,46,1324.80,70.38,5.31,SAKTHI AGENCIES MT
1549,4137,PEARS NATURAL ALOE VERA -100GMS,46,2208.00,172.96,7.83,AMMAN ENTERPRISE
1550,36812,LUX CERAMY SOAP 75GM,46,1757.20,95.13,5.41,AMMAN ENTERPRISE
1551,61406,TRAY 2000 RANDOM,46,2852.00,822.02,28.82,RATAN PLASTICS
1552,4970,AJAY SENSITIVE + TOOTH BRUSH -22RS,46,1656.00,368.46,22.25,VIJAY ENTERPRISES
1553,57725,SINGLE STICKER HOOK SCREW TYPE,46,460.00,242.88,52.80,KONICA MARKETING
1554,37935,FLAG WOOLLEN HAND BAND,46,230.00,109.48,47.60,MR BOOK  STORE
1555,61017,ACTIVE WHEEL 2IN1-500KLR,46,1730.88,123.64,7.14,AMMAN ENTERPRISE
1556,15391,DEEPAM ORIGINAL BENZOIN-50GMS,46,1334.00,713.46,53.48,BAJAR ITEM
1557,62280,FINGER FRYMS,46,2028.60,574.07,28.30,SHIVA SAI ENTERPRISES PVT LTD
1558,581,GOPURAM TURMERIC POWDER -10GMS,46,414.00,138.00,33.33,RSM POOJA ITEMS
1559,61628,JAWA PRIYA BLACK RICE NEW-500KGS,45,6705.00,2410.41,35.95,JAWA PRIYA FOOD PRODUCTS
1560,54783,HOSERY QUALITY MAT,45,4905.00,1620.00,33.03,ROYAL MARKETING
1561,36682,CYCLE THREE IN ONE 50G,45,1296.00,171.00,13.19,ARCHANA TRADING
1562,54368,TASTY NIBBLES ROASTED SEMIYA 200GM,45,1296.00,216.00,16.67,SRI BAALAJI AGENCIES
1563,2053,BRU GREEN LABEL-100GMS,45,3913.95,269.11,6.88,AMMAN ENTERPRISE
1564,51455,GREENITY SOCKS /63,45,2205.00,976.50,44.29,SHIV SHAKTHI BELT HOUSE
1565,64399,MONACO CRISPY-40RS,45,1728.00,201.60,11.67,A SQUARE MARKETING
1566,42367,BRITANNIA 50 50 TIME PASS,45,1209.60,136.51,11.29,R.K.MARKETING
1567,36599,PLATINUM EXTRA DARK PENCILS,45,2430.00,506.59,20.85,KAMAL ENTERPRISE
1568,199,GODREJ EXPERT EASY NATURAL BLACK,45,1296.00,101.25,7.81,IRAIVI ENTERPRISES
1569,63389,VIM 750ML,45,8706.24,709.23,8.15,AMMAN ENTERPRISE
1570,63626,BELZIUM MAT 45*70,45,13410.00,4140.00,30.87,ROYAL MARKETING
1571,12158,SWEET MAKHANA 100GM MG,45,630.00,393.75,62.50,BAJAR ITEM
1572,13487,TOOTH PICK,45,668.00,316.40,47.37,MEENAAKSHI ENTERPRISES
1573,22007,MAGIC HAND WASH /15,45,432.00,39.15,9.06,IRAIVI ENTERPRISES
1574,66314,SUN BOWL NO.3,45,1530.00,409.05,26.74,SUNSHINE STEELS
1575,4845,SURF EXCEL  QUICK WASH-500MLT,45,4406.40,394.27,8.95,AMMAN ENTERPRISE
1576,58750,TATA SOULFULL RAGI BITES 6 PACKS,45,2116.80,263.50,12.45,SRI SAKTHI AGENCIES
1577,35673,BIO COMPOSTABLE  PAPER CUP 110ML,45,7110.00,2610.00,36.71,BEST MARKETING
1578,1224,STAYFREE ADVACED ALL NIGHTS -1PAC,45,4583.50,280.01,6.11,N.K.AHAMMED
1579,33149,SS TEA FILTER NO 2,45,3182.00,1075.84,33.81,KARTHEESWARI TRADING CO
1580,12034,ACT II BUTTER PEPPER 70G,45,1512.00,115.55,7.64,SRISAA ENTERPRISE
1581,6636,ACT 2 SOUTHERN SPICE FIAVOR-33RS,45,1512.00,105.75,6.99,SRISAA ENTERPRISE
1582,3758,HAPIMA FRIED RICE MIX ORIGINAL-19GMS,45,518.40,135.90,26.22,AJINOMOTO INDIA PVT LTD
1583,24020,STICK EZY GUM,45,207.00,44.30,21.40,STAR STATIONERIES
1584,10046,CITRUS PLUS 500 GM,45,3024.00,323.77,10.71,T.J.MARKETING
1585,39542,NATRAJ BE BOLD PENCIL,45,2025.00,562.50,27.78,STAR STATIONERIES
1586,39761,DIAMOND KALKANDU 500 GM,45,2205.00,740.25,33.57,BAJAR ITEM
1587,3217,RAJAM SUKKU MALLI POWDER-100GMS,45,2592.00,342.00,13.19,MURUGAN ENTERPRISES
1588,1384,CLASSMATE MINI UNRULED NOTE-1PCS,45,1296.00,346.05,26.70,GR ENTERPRISESS
1589,42373,DRY FIG 250GM,45,16830.00,3736.50,22.20,RANUJA ENTERPRISES
1590,2942,VVD GOLD COCONUT OIL-175MLT,45,3369.60,174.60,5.18,KAVITHA ENTERPEISES
1591,4699,AJAY THOOTH BRUSH SOFT -22RS,45,891.00,171.00,19.19,VIJAY ENTERPRISES
1592,16465,HOOK 6 PCS,45,1575.00,566.10,35.94,P.R.T.&CO
1593,22801,TAMARIND RICE POWDER,44,1069.20,431.26,40.33,SUNSEENU MARKETING
1594,930,AACHI GARLIC PICKLE 1 + 1-200GMS,44,3971.00,627.00,15.79,AV CUBE LOGISTIC
1595,19773,JAI SPICES SET 2 PCS,44,1320.00,429.44,32.53,RAJ PLASTICS
1596,57622,TOYS-110RS,44,4840.00,2230.00,46.07,BAJAR ITEM
1597,34227,BIO COMPOSTABLE  PAPER CUP 250ML,44,9240.00,2640.00,28.57,BEST MARKETING
1598,59545,CYCLE RHYTHM AMBER CONES-55RS,44,2323.64,490.16,21.09,SRI RAM TRADERS
1599,577,GOKPURAM TURMERIC POWDER TIN-20GMS,44,831.60,259.60,31.22,RSM POOJA ITEMS
1600,58807,ARC COCONUT OIL 1L,44,20134.00,2654.00,13.18,KANNA OIL TRADERS
1601,7551,LAY'S SPANISH TOMATO-30RS,44,1267.20,201.08,15.87,SHRI THENANDAL ENTERPRISES
1602,36335,B'DAY CAP/12,44,528.00,207.68,39.33,SUN DECORATION CENTRE
1603,55867,BINGO MADANGLES MASTI 66G,44,844.80,212.96,25.21,NANDHINI TRADE
1604,978,AACHI SEMIYA PAYASAM MIX-180GMS,44,5448.96,916.52,16.82,AV CUBE LOGISTIC
1605,15388,KADUKKAI (MG)-50GMS,44,660.00,336.60,51.00,BAJAR ITEM
1606,60481,PRABHA BOWL .1,44,1496.00,436.48,29.18,SUNSHINE STEELS
1607,8550,TOP RAMEN CURRY-280GMS,44,4646.40,504.06,10.85,SRI ANNAPOORANI AGENCIES
1608,66539,COMFORT DESIRE-850MLT,44,9756.00,1747.67,17.91,AMMAN ENTERPRISE
1609,50009,PASUMARK SANJEEVI SESAME  OIL-500MLT,44,9700.00,1277.92,13.17,MM ENTERPRISES
1610,58209,LINC PENTONIC BALL PEN,44,396.00,66.00,16.67,A.S AGENCIES
1611,14206,LAYS BLUE /50,44,2112.00,528.00,25.00,SHRI THENANDAL ENTERPRISES
1612,57396,SURF EXCEL MATIC FL 1L.,44,10766.40,901.16,8.37,"AMMAN ENTERPRISES C\O,OM ENTERPRISE"
1613,39137,HERBAL TOOTHPASTE RS 20,44,844.80,92.84,10.99,S.V.S.AGENCY
1614,972,AACHI PAYASAM MIX-100GMS,44,3168.00,572.00,18.06,AV CUBE LOGISTIC
1615,60860,YSR SESAME OIL -1LTR,44,17512.00,2772.00,15.83,Y.S.R.TRADERS
1616,4762,ANIL RICE FLOUR-500GMS,44,1647.36,250.80,15.22,MM ENTERPRISES
1617,3117,MELODY CHOCOLATY,44,4224.00,485.76,11.50,A SQUARE MARKETING
1618,63482,PEELER U-244,44,3256.00,1094.83,33.63,EVERYDAY HOUSE ITEMS
1619,2490,NARASUS PURE INSTANT-50GRS,44,7682.40,1060.28,13.80,SRI NARASUS COFFEE PVT LTD
1620,2200,HIMALAYA NEEM FACE WASH-50MLT,44,3792.00,624.00,16.46,KAVITHA ENTERPEISES
1621,14425,TATA SAMPANN POHA 500G,44,2465.82,669.54,27.15,SRI SAKTHI AGENCIES
1622,30268,HAND BAND,44,318.00,111.44,35.04,GAYATHRI JEWELLERS
1623,63269,COMFORT GARDEN FRESH,43,9700.80,801.37,8.26,PALANI STORE
1624,43828,LAYS WAFER STYLE SUNDRIED CHILLI  48G,43,825.60,120.40,14.58,SHRI THENANDAL ENTERPRISES
1625,40566,TOYS-135RS,43,5805.00,2580.00,44.44,BAJAR ITEM
1626,64894,SCISSORS MTC-004,43,903.00,301.43,33.38,ROYAL MARKETING
1627,261,MEERA HERBAL POWDER-150GMS,43,4953.60,643.60,12.99,KAVITHA ENTERPEISES
1628,13918,GLITTER TAP-9,43,387.00,172.00,44.44,BISMI SCHOOL NEEDS
1629,23157,BASIN 10 PRAKASH,43,1634.00,555.99,34.03,RATAN PLASTICS
1630,23130,TRAY 2000 PRAKASH,43,2408.00,769.27,31.95,RATAN PLASTICS
1631,192,GOKUL SANTOL SANDAL BEAUTY POWDER -30GMS,43,1857.60,98.90,5.32,P.R.ENTERPRISES
1632,13633,SAKTHI CORIANDER POWDER-200GMS,43,2438.10,1427.69,58.56,SUNSEENU MARKETING
1633,55381,TATA SAMPANN URAD DAL 500G,43,4916.48,1786.96,36.35,SRI VIGNESHWAR AGENCIES
1634,4720,LIZOL SURFACE CLEANER -500MLT,43,5077.44,454.64,8.95,CHENNIMALAIAPPA ENTERPRISE
1635,66815,CADBURY CHOCOLATE RS 60,43,2476.80,173.29,7.00,SAKTHI AGENCIES MT
1636,12177,KUTHIRAVALI-500GMS,43,3792.60,997.60,26.30,JAWA PRIYA FOOD PRODUCTS
1637,63480,CLOTH CLIP U-9011,43,3440.00,1156.70,33.63,EVERYDAY HOUSE ITEMS
1638,51373,RAKHI RS 25,43,1075.00,473.00,44.00,PRAKASH BAFNA
1639,5488,DABUR RED TOOTH PASTE-300GMS,43,9164.16,3328.20,36.32,VINAYAGA&CO
1640,7117,AACHI PEPPER POWDER-100GMS,43,5882.40,1582.40,26.90,AV CUBE LOGISTIC
1641,65539,SANTOOR /20,43,825.60,62.78,7.60,ARCHANA TRADING
1642,18942,CLASSMATE NEVER FIVE UP,43,2128.50,567.60,26.67,GR ENTERPRISESS
1643,16356,FOOD CONTAINER,43,774.00,244.24,31.56,BEST MARKETING.PAPERCUP
1644,61417,PRAKASH BHIM 1000 RANDOM,43,1241.00,423.82,34.15,RATAN PLASTICS
1645,11146,ANMOL BROOM STEEL,43,5504.00,2146.10,38.99,SMILE INDIA
1646,47388,SS TEA FILTER NO 4,43,3210.00,1066.03,33.21,SMILE INDIA
1647,34332,KERCHIEF RS.16,43,688.00,236.50,34.38,SSCH BELT/CAP/SOCKS
1648,59632,BRU SUPER STRONG TRIPTI-200GMS,43,11678.80,426.56,3.65,"AMMAN ENTERPRISES C\O,OM ENTERPRISE"
1649,66939,KAVERI BRIDAL MEHENDI CONE RS 20,43,817.00,440.75,53.95,BAJAR ITEM
1650,57397,HORLICKS JAR 200G,42,4999.68,273.84,5.48,AMMAN ENTERPRISE
1651,2451,MUNCH -20GMS,42,379.68,2.94,0.77,GURU MARKETING
1652,27057,HEAD MASSAGER STEEL,42,1187.00,395.84,33.35,BAJAR ITEM
1653,65785,COLGATE CIBACA/15,42,567.00,217.14,38.30,SCOOTSY LOGISTICS PRIVATE LIMITED
1654,23832,HAIR BAND RS.7,42,294.00,149.50,50.85,GAYATHRI JEWELLERS
1655,32223,AMBIKA APPALAM 100GM,42,3024.00,672.00,22.22,T.J.MARKETING
1656,25672,ID CARD HOLDER,42,1157.00,536.56,46.38,MAYUR STATIONERS
1657,16744,JAAL JEERA-100GMS,42,2898.00,1222.20,42.17,BAJAR ITEM
1658,4673,NARASUS PB COFFEE-100GMS,42,4807.32,657.34,13.67,SRI NARASUS COFFEE PVT LTD
1659,36995,HAIR CLIP-7RS,42,294.00,147.00,50.00,GAYATHRI JEWELLERS
1660,42415,LOOFA BATH,42,2114.00,941.00,44.51,SMILE INDIA
1661,12752,AASHIRVAAD COW GHEE 100ML,42,3992.52,826.14,20.69,NANDHINI TRADE
1662,6699,BAMBINO VERMICELLI-850GMS,42,3427.20,571.04,16.66,T.J FOUNDATION
1663,7281,TOYS-230RS,42,9660.00,4150.00,42.96,BAJAR ITEM
1664,2154,AAVIN GHEE JAR-1KLR,42,28770.00,1722.00,5.99,GK DAIRY MARKETING SERVICES
1665,60097,PARLE 2020 NICE-30RS,42,1209.60,121.38,10.03,A SQUARE MARKETING
1666,7146,MANGALDEEP TREYA-75RS,42,3024.00,547.75,18.11,NANDHINI TRADE
1667,12813,BRIYAS TOFU SOY PANEER-200GMS,42,4116.00,807.94,19.63,CHENNIMALAI AGENCIES
1668,13126,SAVORI VERMICELLI-500GMS,42,2822.40,680.40,24.11,J.S.AGECIES
1669,29342,MOBILE STAND,42,1124.00,382.80,34.06,EVERYDAY HOUSE ITEMS
1670,38681,LINC SIGNETTA,42,567.00,94.08,16.59,A.S AGENCIES
1671,64850,KUMBAKONAM IYER VATHAL,42,3318.00,966.00,29.11,KUMBAKONAM IYER COFFEE
1672,52433,SAVORIT  VERMICELLI NORMAL-1KGS,42,3991.68,815.18,20.42,J.S.AGECIES
1673,60099,PARLE-G FAB VANNILA-10RS,42,403.20,47.04,11.67,A SQUARE MARKETING
1674,26258,SOAP BOX CAMRY 32,42,1344.00,643.86,47.91,KRISHNA NOVELTY
1675,64105,CADBURY CHOCLAIRS GOLD /200 NEW,42,8064.00,759.78,9.42,SAKTHI AGENCIES MT
1676,32514,PLASTIC VISIRI ROUND,42,630.00,291.48,46.27,RATAN PLASTICS
1677,10472,DOUBLE HORSE MACRONI 200G,42,1286.40,215.52,16.75,T.J.MARKETING
1678,65285,THALI KAYIRU NO.3,42,630.00,252.00,40.00,RSM POOJA ITEMS
1679,46091,MY CLEAR FILE 333,42,1347.00,501.53,37.23,MAYUR STATIONERS
1680,66750,CLOSEUP SUPERFRESH ZINC RS 20,42,806.40,88.62,10.99,AMMAN ENTERPRISE
1681,52136,KNORR CHICKEN DELITE-15RS,42,604.80,61.88,10.23,AMMAN ENTERPRISE
1682,62474,NESCAFE SUNRIFE RA.295,42,12222.00,446.46,3.65,SRI JAYALAKSHMI ENTERPRISE
1683,27121,VEGA LUXURY,42,2478.00,784.56,31.66,BAJAR ITEM
1684,8540,CONCORD RICE SEVAI-475GMS,42,4838.40,564.48,11.67,SRI ANNAPOORANI AGENCIES
1685,64362,FIVE STAR RS.10,42,403.20,21.42,5.31,SAKTHI AGENCIES MT
1686,59232,SURF EXCEL  MATIC FRONT  LOAD-2LTR,42,14787.84,563.83,3.81,AMMAN ENTERPRISE
1687,28626,NESCAFE SUNRISE AROMA200GM,42,16590.00,1890.00,11.39,PALANI STORE
1688,4424,KIT KAT -7GMS,42,403.20,21.42,5.31,GURU MARKETING
1689,17273,PASUMARK COLDPRESSED COCONUT OIL-500MLT,42,10830.00,1484.16,13.70,MM ENTERPRISES
1690,12581,STAYFREE DRY-MAX 14PADS,42,7350.00,1082.46,14.73,N.K.AHAMMED
1691,8052,NEW RIN ANTIBAC WITH NEEM EXPACT  1 KG,42,5076.48,418.68,8.25,AMMAN AGENCIES
1692,17549,AROMI SAFETY PINS SIZE 2,42,1008.00,165.96,16.46,NEW DEV TRADERS
1693,49923,PUREX TOILET CLEANER/149,42,6258.00,1583.40,25.30,AURA FMCG INDUSTRIES PVT LTD....
1694,63222,AASHIRVAD ROASTED SEMIYA-180GRS,41,895.85,272.90,30.46,NANDHINI TRADE
1695,53585,MAXWIN FOAM TAP FT18 NEW,41,1740.00,584.71,33.60,MAYUR STATIONERS
1696,51730,AERO CAR FRAGRANCE/99 MUSK,41,3896.64,351.78,9.03,IRAIVI ENTERPRISES
1697,17571,DETTOL BUY 2 GET 1 FREE,41,5510.40,422.71,7.67,CHENNIMALAIAPPA ENTERPRISE
1698,60935,BOUNCE ELACHI,41,393.60,33.21,8.44,NANDHINI TRADE
1699,6596,TATA CHAKRA GOLD CARE-250GMS,41,9628.80,1475.40,15.32,SRI VIGNESHWAR AGENCIES
1700,64272,VIJAY CHAPATI,41,2378.00,408.83,17.19,VIJAY HOME FOODS
1701,14019,OVAL MAT,41,2419.00,902.00,37.29,SMILE INDIA
1702,13213,MAHARAJA BOILED RICE 5KG,41,16810.00,1992.19,11.85,BAJAR ITEM
1703,20815,MAT SOMETHING,41,2459.00,901.00,36.64,SMILE INDIA
1704,4642,HAND WRITTING BOOK TAMIL -45RS,41,1314.40,523.60,39.84,BISMI SCHOOL NEEDS
1705,65249,CLASSMATE 120PAGES,41,1291.50,344.40,26.67,GR ENTERPRISESS
1706,66373,GILLETTE PRESTO BUY 3 GET 1 FREE,41,2760.00,413.90,15.00,BHAWAR SALES CORPORATION
1707,25593,PAPER PLATE NO 13,41,4428.00,1763.00,39.81,BEST MARKETING
1708,53649,3 ROSES NORMAL-500GMS,41,17101.10,1307.43,7.65,AMMAN ENTERPRISE
1709,190,GOKUL SANTOL SANDAL BEAUTY POWDER -70GMS,41,3227.52,173.02,5.36,P.R.ENTERPRISES
1710,243,GODREJ AER SPRAY MUSK AFTER SMOKE-240MLT,41,3895.00,512.50,13.16,IRAIVI ENTERPRISES
1711,50548,MEDIMIX 4+1 CLASSIC,41,6132.40,326.80,5.33,P.R.ENTERPRISES
1712,55135,RED LABLE 250G,41,5756.95,210.25,3.65,AMMAN ENTERPRISE
1713,1366,CAMLIN SCALE-1PCS,41,442.80,98.40,22.22,VIJAY ENTERPRISES
1714,22796,CRANE BETEL NUT PIECES 40G,41,2361.60,246.00,10.42,SRI THIRUMALA VENKATESWARI AGENCIES
1715,62679,MANGALDEEP 3IN1 LLF NEW,41,385.40,67.91,17.62,NANDHINI TRADE
1716,9311,GOKUL PANEER 200 ML,41,1889.28,283.27,14.99,T.P.ANNAPOORANI ENTERPRISES
1717,66643,HIDE&SEEK STRAWBERRY CREME,41,1574.40,183.68,11.67,A SQUARE MARKETING
1718,13837,COLGATE STRAWBERRY 2-5 YEARS,41,4027.20,690.32,17.14,SCOOTSY LOGISTICS PRIVATE LIMITED
1719,64738,VIM NEEM CLEAN-760GMS,41,4881.60,561.03,11.49,AMMAN ENTERPRISE
1720,52054,SUNLIGHT,41,1180.80,41.82,3.54,AMMAN ENTERPRISE
1721,34015,GODREJ RICH CREME/15,41,606.80,62.32,10.27,IRAIVI ENTERPRISES
1722,54638,LAY'S WEST IMDIES HOT'N' SC,41,1968.00,492.00,25.00,SHRI THENANDAL ENTERPRISES
1723,22150,HIDE&SEEK B3G1 BISCUIT,41,3542.40,354.47,10.01,A SQUARE MARKETING
1724,12199,DOUBLE BEANS 500G,41,4059.00,1318.39,32.48,BAJAR ITEM
1725,49173,VICKS INHALER 0.5ML,41,2715.84,426.40,15.70,BHAWAR SALES CORPORATION
1726,10474,DOUBLE HORSE MACRONI 400G,41,2299.20,379.80,16.52,T.J.MARKETING
1727,12635,BIG MUSTARD 500G MG,41,2829.00,891.75,31.52,BAJAR ITEM
1728,12508,BINDU APPALAM TASTY-100GMS,41,3148.80,1114.85,35.41,SELVAVINAYAGAM AGENCY
1729,13838,COLGATE VISIBLE WHITE-50GMS,41,3896.64,720.37,18.49,SCOOTSY LOGISTICS PRIVATE LIMITED
1730,7186,ACT 2 TANDOORI POPCORN-70GMS,41,1377.60,96.35,6.99,SRISAA ENTERPRISE
1731,28969,PRAKASH MUG BHIM 1000 PRINT,41,1148.00,366.54,31.93,RATAN PLASTICS
1732,25588,3*6 BED,41,20418.00,5248.00,25.70,BAJAR ITEM
1733,8103,MEERA STRONG & HEALTHY-80MLT,41,2833.92,168.92,5.96,KAVITHA ENTERPEISES
1734,62265,LUX EVEN TONED GLOW ROSE/38 NEW,41,1653.12,106.19,6.42,AMMAN ENTERPRISE
