Date:08/23/25,,MURUGAN STORES WHOLESALE SUPERMARKET,,,,,
Fast-moving Stock Report from 08/23/24 to 08/23/25,,,,,,,
S.No,Barcode,Product Name,Quantity,Stock Value,Profit,Profit %,Vendor Name
427,2731,ALIFA LAILA ZEERA SAMBA RICE-1KGS,157,32063.00,2561.15,7.99,SAKTHI ENTERPRICES
428,32298,CINTHOL  10-38GMS,157,1507.20,92.21,6.12,IRAIVI ENTERPRISES
429,1967,SAKTHI CORIANDER POWDER-50GMS,156,2246.40,958.21,42.66,SUNSEENU MARKETING
430,30540,AMUL GHEE/200ML,155,22853.20,1297.79,5.68,SAAGA TRADERS
431,12948,MODERN SWEET PLUS350G,155,6771.80,637.80,9.42,G.V. AGENCY
432,17758,MAPILAI SAMBHA 1 KGS,155,12245.00,2317.25,18.92,BAJAR ITEM
433,34395,PENTONIC 0.6 BALL PEN/10,154,1386.00,308.00,22.22,STAR STATIONERIES
434,15567,HARINI WHITE ELLU 100G,154,4950.00,1573.13,31.78,RANUJA ENTERPRISES
435,18312,SPADE POLY  THREAD /6.50,154,1386.00,257.40,18.57,BAJAR ITEM
436,1830,AACHI CHILLI  POWDER-100GMS,154,5821.20,2279.20,39.15,AV CUBE LOGISTIC
437,278,NATURE POWER SOAP (PAPAYA AURA) -125GMS,153,7344.00,385.56,5.25,GAYATHRI TRADERS (NP)
438,27938,UDHAYAM IDLY RICE 5KG,153,50793.00,7508.10,14.78,SHRI LAKSHMI AGRO FOODS PVT LTD
439,35613,CRAFT BEADS,153,1488.00,732.71,49.24,BISMI SCHOOL NEEDS
440,64271,VIJAY IDLI&DOSA BATTER,153,8874.00,1219.41,13.74,VIJAY HOME FOODS
441,4097,HAIR BAND -15RS,153,2295.00,1135.00,49.46,BAJAR ITEM
442,12807,SOMBU 200G MG,152,10488.00,4049.40,38.61,BAJAR ITEM
443,1136,RIN ALA-200MLT,152,6422.00,229.52,3.57,AMMAN ENTERPRISE
444,63203,EYETEX BLACK GOLD-10RS,151,1449.60,369.57,25.49,ISAI TRADERS
445,3550,MANI MARKBLACK SESAME BALL -70GMS,151,7248.00,1661.00,22.92,P.R.ENTERPRISES
446,18915,MICRO FIBRE CLOTH,150,10438.00,5048.00,48.36,ROYAL MARKETING
447,65375,TAJ MAHAL TEA  RICH&FLAV-250GRS,150,29100.00,1411.32,4.85,AMMAN ENTERPRISE
448,40381,BRIT JIM JAM /25,150,3601.30,406.64,11.29,R.K.MARKETING
449,109,CINTHOL  ORIGINAL-75GMS,150,5287.68,429.66,8.13,IRAIVI ENTERPRISES
450,36363,B'DAY BALOON  /18,149,2562.00,1208.87,47.18,SUN DECORATION CENTRE
451,63253,DARK FANTASY BOURBON RS.10 20%EXTRA-55GMS,149,1430.40,116.11,8.12,NANDHINI TRADE
452,12311,RED MYSORE DHALL 500G MG,149,8791.00,2258.84,25.69,BAJAR ITEM
453,35698,KOLAM RAW RICE 1KG,148,13172.00,1487.40,11.29,BAJAR ITEM
454,12309,RED MYSORE DHALL 200G MG,148,3700.00,1120.36,30.28,BAJAR ITEM
455,41135,PRINTED LUNCH BAG MED,148,14177.00,5313.00,37.48,KAVITHA BAG HOUSE
456,48951,INDIA GATE SUPER BASMATHI-1KGS,148,26997.00,2684.25,9.94,SAKTHI ENTERPRICES
457,1953,SAKTHI CHICKEN MASALA-50GMS,148,3552.00,1480.00,41.67,SUNSEENU MARKETING
458,43796,ORIGINAL KIMIA DATES,148,36704.00,7805.90,21.27,RANUJA ENTERPRISES
459,2973,SABENA DISHWASH POWDER-1KGS,148,4546.56,318.20,7.00,T.J.MARKETING
460,530,BARLEY -100GMS,147,2058.00,884.94,43.00,BAJAR ITEM
461,41760,PARRYS JAGGERY POWDER-500GMS,147,6615.00,1324.47,20.02,K R MARKETING
462,18708,BINDI RS.8,147,1176.00,624.75,53.13,GAYATHRI JEWELLERS
463,6428,SAKTHI PEPPER POWDER-50GMS,146,11425.50,4126.96,36.12,SUNSEENU MARKETING
464,60673,CHIA SEED 100GM,146,7274.00,2842.97,39.08,JHONSON MASALA
465,12066,GOOREJ AER POWER POCKET,146,9110.40,821.98,9.02,IRAIVI ENTERPRISES
466,7642,HOME LITES MATCH BOX-239PCS,145,1392.00,289.53,20.80,NANDHINI TRADE
467,7990,COOUNTRY SUGAR-500GMS,145,6960.00,1740.00,25.00,SRIRAM TRADERS
468,4640,A4  CHART -1PCS,145,290.00,152.25,52.50,HARI OM STATIONARY
469,4907,SAKTHI  CORIANDER POWDER-100GMS,145,4045.50,1648.50,40.75,SUNSEENU MARKETING
470,8513,BISON TOILED DESCALER-500MLT,145,6681.60,1811.05,27.11,BISON CONSUMER PRODUCTS
471,3280,KAMBU SEMIYA-180GMS,145,4454.40,1658.80,37.24,MM ENTERPRISES
472,33105,FLAIR PEN,144,1296.00,216.00,16.67,A.S AGENCIES
473,1820,AACHI CORIANDER POWDER-100GMS,144,3628.80,1324.80,36.51,AV CUBE LOGISTIC
474,12606,KAMBU 500G MG,144,3312.00,741.60,22.39,BAJAR ITEM
475,1360,APSARA ERASER-1PCS,144,691.40,153.75,22.24,KAMAL ENTERPRISE
476,10211,SAKTHI RAGI FLOUR 500G,144,6091.20,1358.70,22.31,SUNSEENU MARKETING
477,65786,AJANTHA ROASTED VERMICELLI,144,2851.20,763.20,26.77,VIJAYALAKSHMI ENTERPRISES
478,5575,SLICE -125MLT,143,1372.80,300.30,21.87,ESWARI ENTERPRISES
479,61724,SAKTHI KASHMIRI CHILLI P[POW-50GMS,143,7869.61,3239.61,41.17,SUNSEENU MARKETING
480,13379,KETTI AVAL 200G MG,143,3503.50,1474.33,42.08,BAJAR ITEM
481,6340,GOOREJ AER POCKET-10GMS,143,8923.20,805.09,9.02,IRAIVI ENTERPRISES
482,20023,FEVI KWIK RS5,142,653.20,85.20,13.04,EK OM TRADERS
483,62686,SUNFEAST SUPER MILK /10,142,1363.20,130.52,9.57,NANDHINI TRADE
484,23945,SUNRISE EXTRA SACHET 12(5*200G),142,42316.00,5776.56,13.65,SRI JAYALAKSHMI ENTERPRISE
485,43278,CADBURY CHOCO CHIP COOKIES,142,5452.80,288.26,5.29,SAKTHI AGENCIES MT
486,6342,GOORAJ POWER POCKET-10RS,142,8860.80,799.46,9.02,IRAIVI ENTERPRISES
487,18444,PAPER BAG RS.25-1PCS,142,3124.00,1136.00,36.36,KAVITHA BAG HOUSE
488,3952,BOOST PACKET-200GMS,141,13400.64,669.75,5.00,AMMAN ENTERPRISE
489,5641,HAIR CLIP -25RS,141,3525.00,1833.00,52.00,GAYATHRI JEWELLERS
490,53914,SUNFEAST MARIE LIGHT-175RS,141,2707.20,278.84,10.30,NANDHINI TRADE
491,16108,MADHUKAM BANANA CHIPS-150GMS,141,14212.80,2246.13,15.80,S.V.S.AGENCY
492,33413,EXAM ALL CLEAR ERASER,140,378.00,84.00,22.22,VIJAY ENTERPRISES
493,3298,SOLAM  (VE) SEMIYA-180GMS,139,4270.08,1590.16,37.24,MM ENTERPRISES
494,19806,COLOUR PAPER/2,139,278.00,152.90,55.00,BISMI SCHOOL NEEDS
495,56238,SKC PEANUT CHIKKI BITES,139,11507.13,3134.43,27.24,NILA ENTERPRISES
496,3486,ACT 2  POPCORN -10RS,139,1348.30,109.81,8.14,SRISAA ENTERPRISE
497,731,GRB GHEE JAR-500MLT,138,62482.00,7179.51,11.49,INDRA AGENCIES
498,36443,FANCY ERASER SMALL,138,1380.00,655.50,47.50,MAYUR STATIONERS
499,12200,KOLLU 500G,138,7082.00,2695.55,38.06,BAJAR ITEM
500,45233,THALI KAYIRU,138,1640.00,528.00,32.20,RSM POOJA ITEMS
501,55317,MANI MARK PEANUT BURFI TRY-20PAC,138,13248.00,2880.00,21.74,P.R.ENTERPRISES
502,2507,HARPIC BATHROOM CLEANER LEMON-500MLT,138,15235.20,1258.73,8.26,CHENNIMALAIAPPA ENTERPRISE
503,42800,AMIRTHAM NATTU SAKKARAI-500GMS,137,8305.28,3099.28,37.32,SRI ANNAPOORANI AGENCIES
504,60075,2020 PENUT 150G,137,6576.00,1900.19,28.90,RR FOODS
505,35849,VEL BRAND BOILED-5KGS,137,39730.00,4873.09,12.27,BAJAR ITEM
506,66216,MANIMARK FINE PEANUT BURFI RS - 40,137,5260.80,1205.60,22.92,P.R.ENTERPRISES
507,2527,DETTOL ANTISEPTIC LIQUID -60MLT,137,5292.31,456.21,8.62,CHENNIMALAIAPPA ENTERPRISE
508,65382,SURF EXCEL MATIC FRONT LOAD VALUE PACK,137,20413.00,1433.14,7.02,AMMAN ENTERPRISE
509,7522,FEVICOL -10RS,137,1233.00,142.00,11.52,EK OM TRADERS
510,12013,TATA ROCK SALT-1KGS,137,15675.00,3592.20,22.92,SRI SAKTHI AGENCIES
511,3364,INDIA GATE CLASSIC-1KGS,136,27632.00,2499.20,9.04,SAKTHI ENTERPRICES
512,5229,CARDIA ADVANCED FILTER GROUNDNUT OIL-1KGS,136,24752.00,3400.00,13.74,AMMA BAZAAR
513,4472,BAMBINO VERMICELLI -150GMS,136,2088.96,308.82,14.78,T.J FOUNDATION
514,12155,SWEET CORN 200GM MG,136,6664.00,3094.00,46.43,BAJAR ITEM
515,5481,MANI MARK PUFFED RICE BALLS,135,4536.00,1039.50,22.92,P.R.ENTERPRISES
516,11870,AASHIRVAAD SALT 1KG,135,3915.00,540.00,13.79,KAIMANAM FOODS
517,54981,MAGGI 2MINUTE NOODLES,134,2572.80,113.90,4.43,SRI JAYALAKSHMI ENTERPRISE
518,22988,FLAIR  INSTA KIT,134,2412.00,400.66,16.61,A.S AGENCIES
519,5608,HAIR CLIP -15RS,134,2010.00,945.50,47.04,GAYATHRI JEWELLERS
520,64136,DAZ SANI CUBE 90,134,6271.20,2438.80,38.89,SRI VINAYAGA ENTERPRISES
521,45355,SCOTCH BRITE SILM SP,134,1286.40,203.68,15.83,INDRA AGENCIES
522,48740,DARLING ASAFOETIDA POWDER,134,11041.20,2442.40,22.12,DARLING SPICES&FOODS
523,2687,PARACHUTE COCONUT OIL (B)-250MLT,133,18428.00,1465.00,7.95,BAJAR ITEM
524,56779,HAIR CLIP-24RS,133,3192.00,1497.50,46.91,GAYATHRI JEWELLERS
525,66512,POOJA THIRI MRP.25,133,2793.00,1150.45,41.19,BALAMURUGAN TRADERS
526,4132,DOVE CREAM BEAUTY BAR-100GMS,133,8299.20,620.84,7.48,AMMAN ENTERPRISE
527,17985,EYETEX PALLAVI.8,132,1687.68,417.18,24.72,ISAI TRADERS
528,12536,MADHURAM MASALA PEANUT 150GM,132,8870.40,1401.84,15.80,S.V.S.AGENCY
529,13521,FLOOROSOL JASMINE 700ML,132,7983.36,2162.16,27.08,BISON CONSUMER PRODUCTS
530,3634,KINLEY SODA -750MLT,132,2534.20,415.60,16.40,AKS GENERAL STORES
531,3641,SPRITE -250MLT,131,2515.20,1309.67,52.07,AKS GENERAL STORES
532,12219,WHITE MOCHAI 500G,131,9049.00,3667.75,40.53,BAJAR ITEM
533,10203,SAKTHI CHICKEN MASALA 100G,131,6130.80,2967.42,48.40,SUNSEENU MARKETING
534,13736,AMUL COW GEE500ML,131,46380.55,2631.12,5.67,SAAGA TRADERS
535,66296,PARLE FAB BOURBON 20% EXTRA RS -10,130,1248.00,66.30,5.31,A SQUARE MARKETING
536,63582,SUNFEAST MOMS MAGIC,130,1248.00,114.42,9.17,NANDHINI TRADE
537,42195,KISSAN MIXED FRUIT 90G,130,3120.00,137.80,4.42,AMMAN ENTERPRISE
538,47952,COLGATE STRONG TEETH NEW-100GMS,130,9484.80,503.30,5.31,SCOOTSY LOGISTICS PRIVATE LIMITED
539,4474,BAMBINO VERMICELLI -200GMS,129,3715.20,442.47,11.91,T.J FOUNDATION
540,2349,AASHIRVAAD SELECT ATTA-1KLR,129,10171.65,1555.74,15.29,NANDHINI TRADE
541,7795,ACTIVE POWER DETERGENT CAKE.-150GMS,129,1238.40,141.90,11.46,SRI RAM TRADERS
542,254,KARTHIKA HERBAL POWDER -50GMS,128,1228.80,76.80,6.25,BAJAR ITEM
543,2786,MUNCH -14GMS,128,614.40,69.12,11.25,GURU MARKETING
544,6151,CONTINENTAL -2RS,127,2956.56,489.43,16.55,VIJAY MARKETING
545,38371,UNITY BIRYANI RICE 1KG,127,20343.00,3332.98,16.38,SAKTHI ENTERPRICES
546,13757,MAKHANA 250G,127,46275.00,10285.74,22.23,BAJAR ITEM
547,7550,LAY'S AMERICAN CREAM & ONION-30RS,127,3657.60,534.67,14.62,SHRI THENANDAL ENTERPRISES
548,5694,COOKING BUTTER-100GMS,127,9398.00,730.12,7.77,CHENNIMALAI AGENCIES
549,63251,DARK FANTASY 40%EXTRA VANNILA-58GMS,126,1209.60,105.68,8.74,NANDHINI TRADE
550,12194,SPLIT BLACK ORID DAL 200G,126,3900.00,1176.30,30.16,BAJAR ITEM
551,20445,SONA RIBBON/10,126,1260.00,624.96,49.60,BISMI SCHOOL NEEDS
552,66341,10LITE 100PULS SOFT NAPKINS,125,5625.00,1875.00,33.33,ACJ MARKETNG
553,4906,SAKTHI BIRIYANI MASALA-50GMS,125,5056.20,1962.45,38.81,SUNSEENU MARKETING
554,3304,VARAKU SEMIYA-180GMS,125,4080.00,1452.50,35.60,MM ENTERPRISES
555,1716,AACHI CHICKEN MASALA-50GMS,125,2923.20,1173.40,40.14,AV CUBE LOGISTIC
556,32176,SOFI TOWEL SMALL,124,4517.00,1197.78,26.52,SHIV SHAKTHI BELT HOUSE
557,32280,JK COPIER 75GSM,124,30876.00,1320.60,4.28,BAJAR ITEM
558,1963,SAKTHI CHILLI CHUTNEY POWDER-50GMS,124,2356.00,838.17,35.58,SUNSEENU MARKETING
559,45336,SCOTCH BRITE SILVER SPARKS,123,2361.60,376.38,15.94,INDRA AGENCIES
560,8218,COCA COLA-600MLT,123,4797.00,901.59,18.79,AKS GENERAL STORES
561,2007,LION DESEEDED DATES-200GMS,123,6848.64,954.48,13.94,KESHAR AGENCY
562,2926,AAPA SODA -100GMS,123,1845.00,956.61,51.85,BAJAR ITEM
563,913,DURACELL AAA BATTERY-1PCS,123,6070.50,1015.20,16.72,SRI MAHALAKSHMI TRADERS
564,38180,GOPURAM KUNKUMAM POWDER-10GMS,122,1098.00,488.00,44.44,RSM POOJA ITEMS
565,20835,COCA COLA 400ML,122,2342.40,232.10,9.91,AKS GENERAL STORES
566,12981,KUMBAKONAM IYAR COFFEE-250GMS,122,32543.50,5093.50,15.65,KUMBAKONAM IYER COFFEE
567,10200,SAKTHI SAMBAR POWER 100GMS,122,6170.40,2450.62,39.72,SUNSEENU MARKETING
568,66420,VIM LIQUID 500ML NEW,121,11125.36,2020.11,18.16,BAJAR ITEM
569,3276,WHEAT  SEMIA-180GMS,121,3717.12,1384.24,37.24,MM ENTERPRISES
570,3834,HOME LITE MATCH BOX,121,1161.60,232.16,19.99,NANDHINI TRADE
571,12908,KPK GINGER SWEET,121,1778.70,508.20,28.57,GUHAN AGENCY
572,158,HIT RED  (COCKROACHES) -200ML,121,11499.84,1038.18,9.03,IRAIVI ENTERPRISES
573,1381,CHERRY-100GMS,120,4680.00,2160.00,46.15,BAJAR ITEM
574,40875,ROLL O EXTRA LARGEGARBAGE BAGES,120,12960.00,4258.80,32.86,SR ENTERPRISES
575,7667,GIFT PACKING CHARGE-10RS,120,600.00,600.00,100.00,SRI ARULJOTHI SUPER STORE
576,64999,FLAIR UP GEL,120,1080.00,180.00,16.67,A.S AGENCIES
577,63248,DARK FANTASY 40%EXTRA-58GMS,119,1143.72,99.85,8.73,NANDHINI TRADE
578,13526,KOTHUMAI 5KG,119,32130.00,5577.53,17.36,BAJAR ITEM
579,62261,VIM LIQUID 250ML,119,6548.16,545.42,8.33,"AMMAN ENTERPRISES C\O,OM ENTERPRISE"
580,12652,24MANTHARA BURA SUGER500G,119,8356.00,1403.41,16.80,MY ORGANIC BAZAAR
581,1812,AACHI  SAMBER POWDER-50GMS,119,2668.50,880.35,32.99,AV CUBE LOGISTIC
582,12308,BLACK CHANNA 1KG MG,119,15882.00,4365.60,27.49,BAJAR ITEM
583,12012,TATA LITE SALT-1KGS,119,5712.00,667.60,11.69,SRI SAKTHI AGENCIES
584,12271,DIAMOND KALKANDU 200 GM,119,2380.00,830.62,34.90,BAJAR ITEM
585,105,GOOD KNIGHT GOLD FLASH REFILL -45ML,119,9710.40,877.03,9.03,IRAIVI ENTERPRISES
586,1959,SAKTHI RASAM POWDER-50GMS,119,4498.20,1761.20,39.15,SUNSEENU MARKETING
587,24054,NYLON SCRUBBER,118,1416.00,709.31,50.09,SMILE INDIA
588,13230,KASHMIRI CHILLI LONG-500G,118,17774.00,3101.64,17.45,+BHUVANESWARI TRADER
